ticket_id,ticket_description,sentiment,topic,intent,emotion,confidence,reason
52,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?.......................................................1. Visit https://forum.ejconop I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a problem with product connectivity and has tried troubleshooting without success, indicating a technical issue and need for help."
53,I'm having an issue with the {product_purchased}. Please assist. Please. Please. I need assistance as soon as possible because it's affecting my work and productivity.,negative,technical_issue,technical_help,frustrated,0.9,"The customer reports an issue affecting work and productivity and urgently requests assistance, indicating a technical problem and frustration."
54,"I'm having an issue with the {product_purchased}. Please assist.

If it's not working I can't help you. I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",negative,product_quality,technical_help,frustrated,0.9,"Customer reports an issue with the product not working despite a factory reset, indicating a product quality problem and requesting assistance."
55,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue? For those who live in the U.S., you can use the {product_ I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",negative,technical_issue,technical_help,frustrated,0.9,"The customer reports a software bug causing data loss and errors, and asks for guidance on using the product, indicating a technical issue and need for help."
56,"I'm having an issue with the {product_purchased}. Please assist. The requested address will be returned within 3 – 9 business days. Please do not hesitate to contact us using the appropriate form.

(9 weeks from purchase time I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",negative,technical_issue,technical_help,frustrated,0.9,"The customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
57,I'm having an issue with the {product_purchased}. Please assist. I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.,negative,technical_issue,technical_help,frustrated,0.9,"The customer reports a consistent issue with a product feature and requests assistance, indicating a technical problem and frustration."
58,"I'm having an issue with the {product_purchased}. Please assist.

Thank you! This product was added to your friend's shopping cart at your friend's favorite store.

Sorry, your account is not loaded. I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an unresolved issue with the product despite following troubleshooting steps, indicating a technical problem and need for help."
59,"I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

What happens when you lose all of your money without a credit card? The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,account_issue,account_help,frustrated,0.85,"Customer reports a problem with password reset and account recovery, indicating frustration and a need for account help."
60,"I'm having an issue with the {product_purchased}. Please assist. Also note: Your information gets deleted every time an article is sent to a website you've never viewed.

{Product_id} is a unique identifier in I'm not sure if this issue is specific to my device or if others have reported similar problems.",negative,technical_issue,technical_help,frustrated,0.8,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration. The mention of data deletion suggests a technical concern. Some uncertainty about whether the issue is device-specific lowers confidence slightly."
61,"I'm having an issue with the {product_purchased}. Please assist. It's time for me to update the product list

I'm having an issue with the{product_purchased}. Please assist. It's time for I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and has tried a factory reset without success, indicating a technical problem and need for help."
62,"I'm having an issue with the {product_purchased}. Please assist.

I was able to get my $50 bag from the vendor, but the bags I was wearing in the show were covered in stickers and the price for those I've tried different settings and configurations on my {product_purchased}, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.8,"Customer reports an issue with the product and has tried different settings but the problem persists, indicating a technical problem and need for help. The message is somewhat unclear due to mixed details about bags and stickers."
63,"I'm having an issue with the {product_purchased}. Please assist.

}

} }

function getProductCount () {orters(function ($p ) { // This gets the count for all the items in the The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,technical_issue,technical_help,frustrated,0.8,"Customer reports an intermittent issue with the product and requests assistance, indicating a technical problem and frustration, but details are limited."
64,"I'm having an issue with the {product_purchased}. Please assist.

4.1.7 Add a custom app icon to the app window. Click App Manager. You'll see a list of all of the new apps ( I've checked the device settings and made sure that everything is configured correctly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
65,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. I'm working around this problem by switching off I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a problem with the product not turning on and an error message, indicating a technical issue and need for help, showing frustration."
66,"There seems to be a glitch in the {product_purchased} software. It freezes frequently, making it difficult to use. Can you please provide a solution?

""I'd love to do this on my own. It's a I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports software freezing and error messages, indicating a technical problem and requesting help."
67,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue?

A good way to resolve this software issue is to use a custom configuration file The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a software bug causing data loss and unexpected errors, requesting help to resolve the issue."
68,"I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently. What can I do to recover them?

Product purchases are never recoverable from the database. I'm worried that the issue might be hardware-related and might require repair or replacement.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports accidental deletion of important data and seeks help to recover files, indicating a technical issue and frustration."
69,"I'm having an issue with the {product_purchased}. Please assist. If your product is purchased with the {product_purchased}, the {product_purchased} will be refunded.

7) Pay it I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",negative,technical_issue,technical_help,frustrated,0.9,Customer reports an unresolved issue with the product despite performing a factory reset and requests assistance.
70,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account? If you don't I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",negative,account_issue,account_help,frustrated,0.9,"Customer reports inability to access account due to login error and expresses concern about data security, indicating a technical account access problem and frustration."
71,"I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently. What about my {search } files?

The {product_purchased} is the I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports accidental deletion of important data and charging issues with the product, indicating technical problems and urgent need for help."
72,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a problem with product connectivity and asks for troubleshooting steps, indicating a technical issue and frustration."
73,"I'm having an issue with the {product_purchased}. Please assist. When I first noticed {product_purchased} the new price of the book was too high. I've already sent out the refund request, but they will I've checked for software updates, and my {product_purchased} is already running the latest version.",mixed,technical_issue,technical_help,frustrated,0.7,"The customer reports an issue with the product and mentions a refund request and price concern, indicating mixed sentiment. The main problem seems technical, and the customer asks for assistance, showing frustration. The message is somewhat unclear and fragmented, so confidence is moderate."
74,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this?


This is a product that must fit in a box. Please let me I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",negative,technical_issue,technical_help,frustrated,0.9,"The customer reports a product malfunction and an error message, indicating a technical issue and requesting help, showing frustration."
75,"I'm having an issue with the {product_purchased}. Please assist. Please, take care of such requests.

[1] M.V.V.

[2] The above-mentioned is made up with specific I've checked the device settings and made sure that everything is configured correctly.",negative,technical_issue,technical_help,frustrated,0.9,"The customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
76,"I'm having an issue with the {product_purchased}. Please assist. 1. It is not allowed to purchase a product from an individual, or for a company in which there are no specific employees or employees, and all products have to I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.8,"Customer reports an unresolved issue with the product despite following troubleshooting steps, indicating a technical problem and need for help."
77,"I'm having an issue with the {product_purchased}. Please assist. I've got a customer who has sent me a $25 invoice! I want to know if this will correct this.

I just downloaded the demo and I I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and multiple devices, indicating a technical problem and requests assistance, showing frustration."
78,"I'm having an issue with the {product_purchased}. Please assist.

Product #8

4-8-0-1

The product code on your product.

#Product ID : {product_id I've checked the device settings and made sure that everything is configured correctly.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
79,"I'm having an issue with the {product_purchased}. Please assist. Thank you

The customer's rating and reviews are important, but they don't have an impact on your credit score

For over mogul financial companies who have I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an unresolved issue with the product despite performing a factory reset, indicating a technical problem and need for help."
80,"I'm having an issue with the {product_purchased}. Please assist.

This is for the best experience and you can't use your phone while waiting for deliveries or when you pick it up.

Please help by posting a I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
81,I'm having an issue with the {product_purchased}. Please assist. I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?,negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue using the product and requests guidance, indicating a technical problem and frustration."
82,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? I don't know about any updates to the product. It's hard I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports a software bug causing crashes and requests guidance, indicating a technical issue and need for help with some frustration."
83,"I'm having an issue with the {product_purchased}. Please assist.

<p>

A full time customer service representative will arrive soon.

<p>

If you would like to respond to a message I've tried different settings and configurations on my {product_purchased}, but the issue persists.",negative,technical_issue,technical_help,frustrated,0.9,"Customer reports an issue with the product and requests assistance, indicating a technical problem and frustration."
84,"I'm having an issue with the {product_purchased}. Please assist. Your product may be available on other websites with the same keyword or your brand.

Thank you. I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",negative,product_quality,technical_help,frustrated,0.9,"Customer reports an issue with the product and a decrease in battery life, indicating a product quality problem and requesting assistance."
85,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?

Please log into your login browser and check to see if the account has been locked. I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",negative,account_issue,account_help,frustrated,0.9,"Customer reports account locked issue and asks for help unlocking it, indicating a problem with account access and frustration."
86,"I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

If you have not used login tokens for the previous 12 months, the login token I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",negative,account_issue,account_help,frustrated,0.9,"Customer reports a problem with password reset and account recovery, indicating frustration and need for help with account access."
